,question,summary,link,answers
0,,,,
1,Dump a NumPy array into a csv file,Is there a way to dump a NumPy array into a CSV file? I have a 2D NumPy array and need to dump it in human-readable format.,https://stackoverflow.com/questions/6081008/dump-a-numpy-array-into-a-csv-file,"['Is there a way to dump a NumPy array into a CSV file? I have a 2D NumPy array and need to dump it in human-readable format.', 'numpy.savetxt saves an array to a text file.', ""You can use pandas. It does take some extra memory so it's not always possible, but it's very fast and easy to use."", 'tofile is a convenient function to do this:', 'Writing record arrays as CSV files with headers requires a bit more work.', 'As already discussed, the best way to dump the array into a CSV file is by using .savetxt(...)method. However, there are certain things we should know to do it properly.', 'I believe you can also accomplish this quite simply as follows:', 'if you want to write in column:', 'In Python we use csv.writer() module to write data into csv files. This module is similar to the csv.reader() module.', 'If you want to save your numpy array (e.g. your_array = np.array([[1,2],[3,4]])) to one cell, you could convert it first with your_array.tolist().', 'You can also do it with pure python without using any modules.']"
2,How can the Euclidean distance be calculated with NumPy?,"I have two points in 3D:
(xa, ya, za)
(xb, yb, zb)

And I want to calculate the distance:
dist = sqrt((xa-xb)^2 + (ya-yb)^2 + (za-zb)^2)

What's the best way to do this with NumPy, or with Python in ...",https://stackoverflow.com/questions/1401712/how-can-the-euclidean-distance-be-calculated-with-numpy,"['I have two points in 3D:', 'Use numpy.linalg.norm:', ""There's a function for that in SciPy. It's called Euclidean."", ""For anyone interested in computing multiple distances at once, I've done a little comparison using perfplot (a small project of mine)."", 'I want to expound on the simple answer with various performance notes. np.linalg.norm will do perhaps more than you need:', 'Another instance of this problem solving method:', 'Starting Python 3.8, the math module directly provides the dist function, which returns the euclidean distance between two points (given as tuples or lists of coordinates):', ""It can be done like the following. I don't know how fast it is, but it's not using NumPy."", ""I find a 'dist' function in matplotlib.mlab, but I don't think it's handy enough."", 'A nice one-liner:', 'I like np.dot (dot product):', 'You can just subtract the vectors and then innerproduct.', 'Having a and b as you defined them, you can use also:', ""Here's some concise code for Euclidean distance in Python given two points represented as lists in Python."", ""With Python 3.8, it's very easy."", 'Since Python 3.8 the math module includes the function math.dist().\nSee here https://docs.python.org/3.8/library/math.html#math.dist.', 'Calculate the Euclidean distance for multidimensional space:', 'You can easily use the formula', ""Find difference of two matrices first. Then, apply element wise multiplication with numpy's multiply command. After then, find summation of the element wise multiplied new matrix. Finally, find square root of the summation."", 'You first change list to numpy array and do like this: print(np.linalg.norm(np.array(a) - np.array(b))). Second method directly from python list as: print(np.linalg.norm(np.subtract(a,b)))', 'The other answers work for floating point numbers, but do not correctly compute the distance for integer dtypes which are subject to overflow and underflow. Note that even scipy.distance.euclidean has this issue:']"
3,How do I get indices of N maximum values in a NumPy array?,"NumPy proposes a way to get the index of the maximum value of an array via np.argmax.

I would like a similar thing, but returning the indexes of the N maximum values.

For instance, if I have an ...",https://stackoverflow.com/questions/6910641/how-do-i-get-indices-of-n-maximum-values-in-a-numpy-array,"['NumPy proposes a way to get the index of the maximum value of an array via np.argmax.', ""The simplest I've been able to come up with is:"", 'Newer NumPy versions (1.8 and up) have a function called argpartition for this. To get the indices of the four largest elements, do', 'Simpler yet:', 'Use:', ""If you happen to be working with a multidimensional array then you'll need to flatten and unravel the indices:"", ""If you don't care about the order of the K-th largest elements you can use argpartition, which should perform better than a full sort through argsort."", 'For multidimensional arrays you can use the axis keyword in order to apply the partitioning along the expected axis.', 'This will be faster than a full sort depending on the size of your original array and the size of your selection:', ""Method np.argpartition only returns the k largest indices, performs a local sort, and is faster than np.argsort(performing a full sort) when array is quite large. But the returned indices are NOT in ascending/descending order. Let's say with an example:"", 'Use:', 'Use:', 'bottleneck has a partial sort function, if the expense of sorting the entire array just to get the N largest values is too great.', 'The following is a very easy way to see the maximum elements and its positions. Here axis is the domain; axis = 0 means column wise maximum number and axis = 1 means row wise max number for the 2D case. And for higher dimensions it depends upon you.', 'I found it most intuitive to use np.unique.', 'I think the most time efficiency way is manually iterate through the array and keep a k-size min-heap, as other people have mentioned.', 'This code works for a numpy 2D matrix array:']"
4,Convert pandas dataframe to NumPy array,"I am interested in knowing how to convert a pandas dataframe into a NumPy array.

dataframe:

import numpy as np
import pandas as pd

index = [1, 2, 3, 4, 5, 6, 7]
a = [np.nan, np.nan, np.nan, 0.1, 0....",https://stackoverflow.com/questions/13187778/convert-pandas-dataframe-to-numpy-array,"['I am interested in knowing how to convert a pandas dataframe into a NumPy array.', 'To convert a pandas dataframe (df) to a numpy ndarray, use this code:', ""It's time to deprecate your usage of values and as_matrix()."", 'Note: The .as_matrix() method used in this answer is deprecated. Pandas 0.23.4 warns:', 'I would just chain the DataFrame.reset_index() and DataFrame.values functions to get the Numpy representation of the dataframe, including the index:', 'You can use the to_records method, but have to play around a bit with the dtypes if they are not what you want from the get go. In my case, having copied your DF from a string, the index type is string (represented by an object dtype in pandas):', ""It seems like df.to_records() will work for you. The exact feature you're looking for was requested and to_records pointed to as an alternative."", 'Try this:', 'Here is my approach to making a structure array from a pandas DataFrame.', 'A Simpler Way for Example DataFrame:', 'Two ways to convert the data-frame to its Numpy-array representation.', 'Just had a similar problem when exporting from dataframe to arcgis table and stumbled on a solution from usgs (https://my.usgs.gov/confluence/display/cdi/pandas.DataFrame+to+ArcGIS+Table).\nIn short your problem has a similar solution:', 'I went through the answers above. The ""as_matrix()"" method works but its obsolete now. For me, What worked was "".to_numpy()"".', ""Further to meteore's answer, I found the code"", 'Try this:', 'A simple way to convert dataframe to numpy array:']"
5,How to access the ith column of a NumPy multidimensional array?,"Suppose I have:

test = numpy.array([[1, 2], [3, 4], [5, 6]])
test[i] gets me ith line of the array (eg [1, 2]). How can I access the ith column? (eg [1, 3, 5]). Also, would this be an expensive ...",https://stackoverflow.com/questions/4455076/how-to-access-the-ith-column-of-a-numpy-multidimensional-array,"['Suppose I have:', 'Similarly,', 'And if you want to access more than one column at a time you could do:', ""this command gives you a row vector, if you just want to loop over it, it's fine, but if you want to hstack with some other array with dimension 3xN, you will have"", 'You could also transpose and return a row:', 'Although the question has been answered, let me mention some nuances.', 'To get several and indepent columns, just:', 'Then you can select the 2nd - 4th column this way:']"
6,What are the advantages of NumPy over regular Python lists?,"What are the advantages of NumPy over regular Python lists?

I have approximately 100 financial markets series, and I am going to create a cube array of 100x100x100 = 1 million cells. I will be ...",https://stackoverflow.com/questions/993984/what-are-the-advantages-of-numpy-over-regular-python-lists,"['What are the advantages of NumPy over regular Python lists?', ""NumPy's arrays are more compact than Python lists -- a list of lists as you describe, in Python, would take at least 20 MB or so, while a NumPy 3D array with single-precision floats in the cells would fit in 4 MB. Access in reading and writing items is also faster with NumPy."", 'NumPy is not just more efficient; it is also more convenient. You get a lot of vector and matrix operations for free, which sometimes allow one to avoid unnecessary work. And they are also efficiently implemented.', ""Alex mentioned memory efficiency, and Roberto mentions convenience, and these are both good points. For a few more ideas, I'll mention speed and functionality."", ""Here's a nice answer from the FAQ on the scipy.org website:"", 'All have highlighted almost all major differences between numpy array and python list, I will just brief them out here:']"
7,Is there a NumPy function to return the first index of something in an array?,"I know there is a method for a Python list to return the first index of something:

>>> l = [1, 2, 3]
>>> l.index(2)
1
Is there something like that for NumPy arrays?",https://stackoverflow.com/questions/432112/is-there-a-numpy-function-to-return-the-first-index-of-something-in-an-array,"['I know there is a method for a Python list to return the first index of something:', 'Yes, given an array, array, and a value, item to search for, you can use np.where as:', 'If you need the index of the first occurrence of only one value, you can use nonzero (or where, which amounts to the same thing in this case):', 'You can also convert a NumPy array to list in the air and get its index. For example,', 'Just to add a very performant and handy numba alternative based on np.ndenumerate to find the first index:', ""If you're going to use this as an index into something else, you can use boolean indices if the arrays are broadcastable; you don't need explicit indices.  The absolute simplest way to do this is to simply index based on a truth value."", 'l.index(x) returns the smallest i such that i is the index of the first occurrence of x in the list.', 'For one-dimensional sorted arrays, it would be much more simpler and efficient O(log(n)) to use numpy.searchsorted which returns a NumPy integer (position). For example,', 'To index on any criteria, you can so something like the following:', ""For 1D arrays, I'd recommend np.flatnonzero(array == value)[0], which is equivalent to both np.nonzero(array == value)[0][0] and np.where(array == value)[0][0] but avoids the ugliness of unboxing a 1-element tuple."", 'An alternative to selecting the first element from np.where() is to use a generator expression together with enumerate, such as:', 'There are lots of operations in NumPy that could perhaps be put together to accomplish this. This will return indices of elements equal to item:', 'The numpy_indexed package (disclaimer, I am its author) contains a vectorized equivalent of list.index for numpy.ndarray; that is:', 'Note: this is for python 2.7 version']"
8,What does -1 mean in numpy reshape?,"A numpy matrix can be reshaped into a vector using reshape function with parameter -1. But I don't know what -1 means here.

For example: 

a = numpy.matrix([[1, 2, 3, 4], [5, 6, 7, 8]])
b = numpy....",https://stackoverflow.com/questions/18691084/what-does-1-mean-in-numpy-reshape,"[""A numpy matrix can be reshaped into a vector using reshape function with parameter -1. But I don't know what -1 means here."", ""The criterion to satisfy for providing the new shape is that 'The new shape should be compatible with the original shape'"", 'Used to reshape an array.', 'According to the documentation:', 'check the below link for more info.\nhttps://docs.scipy.org/doc/numpy/reference/generated/numpy.reshape.html', 'It is fairly easy to understand. The ""-1"" stands for ""unknown dimension"" which can should be infered from another dimension. \nIn this case, if you set your matrix like this:', 'Long story short: you set some dimensions and let NumPy set the remaining(s).', 'It simply means that you are not sure about what number of rows  or columns you can give and you are asking numpy to suggest number of column or rows to get reshaped in.', 'The final outcome of the conversion is that the number of elements in the final array is same as that of the initial array or data frame.']"
9,How do I read CSV data into a record array in NumPy?,"I wonder if there is a direct way to import the contents of a CSV file into a record array, much in the way that R's read.table(), read.delim(), and read.csv() family imports data to R's data frame?

...",https://stackoverflow.com/questions/3518778/how-do-i-read-csv-data-into-a-record-array-in-numpy,"[""I wonder if there is a direct way to import the contents of a CSV file into a record array, much in the way that R's read.table(), read.delim(), and read.csv() family imports data to R's data frame?"", ""You can use Numpy's genfromtxt() method to do so, by setting the delimiter kwarg to a comma."", 'I would recommend the read_csv function from the pandas library:', 'I timed the', 'You can also try recfromcsv() which can guess data types and return a properly formatted record array.', 'As I tried both ways using NumPy and Pandas, using pandas has a lot of advantages:', 'You can use this code to send CSV file data into an array:', 'I tried this:', 'Using numpy.loadtxt', 'This is the easiest way:', 'I would suggest using tables (pip3 install tables). You can save your .csv file to .h5 using pandas (pip3 install pandas),', 'This work as a charm...']"
