,question,summary,link,answers
0,,,,
1,What does if __name__ == “__main__”: do?,"Given the following code, what does the if __name__ == ""__main__"": do?

# Threading example
import time, thread

def myfunction(string, sleeptime, lock, *args):
    while True:
        lock.acquire()
 ...",https://stackoverflow.com/questions/419163/what-does-if-name-main-do,"['Given the following code, what does the if __name__ == ""__main__"": do?', 'Whenever the Python interpreter reads a source file, it does two things:', 'When your script is run by passing it as a command to the Python interpreter,', 'The simplest explanation for the __name__ variable (imho) is the following:', 'To outline the basics:', 'if __name__ == ""__main__"" is the part that runs when the script is run from (say) the command line using a command like python myscript.py.', ""__name__ is a global variable (in Python, global actually means on the module level) that exists in all namespaces. It is typically the module's name (as a str type)."", 'There are lots of different takes here on the mechanics of the code in question, the ""How"", but for me none of it made sense until I understood the ""Why"". This should be especially helpful for new programmers.', ""When there are certain statements in our module (M.py) we want to be executed when it'll be running as main (not imported), we can place those statements (test-cases, print statements) under this if block."", 'Put simply, __name__ is a variable defined for each script that defines whether the script is being run as the main module or it is being run as an imported module.', ""Let's look at the answer in a more abstract way:"", 'When you run Python interactively the local __name__ variable is assigned a value of __main__. Likewise, when you execute a Python module from the command line, rather than importing it into another module, its __name__ attribute is assigned a value of __main__, rather than the actual name of the module. In this way, modules can look at their own __name__ value to determine for themselves how they are being used, whether as support for another program or as the main application executed from the command line. Thus, the following idiom is quite common in Python modules:', 'Consider:', ""Before explaining anything about if __name__ == '__main__' it is important to understand what __name__ is and what it does."", ""I think it's best to break the answer in depth and in simple words:"", ""I've been reading so much throughout the answers on this page. I would say, if you know the thing, for sure you will understand those answers, otherwise, you are still confused."", 'It is a special for when a Python file is called from the command line. This is typically used to call a ""main()"" function or execute other appropriate startup code, like commandline arguments handling for instance.', 'There are a number of variables that the system (Python interpreter) provides for source files (modules).  You can get their values anytime you want, so, let us focus on the __name__ variable/attribute:', 'if __name__ == ""__main__"": is basically the top-level script environment, and it specifies the interpreter that (\'I have the highest priority to be executed first\').', 'You can make the file usable as a script as well as an importable module.', 'Consider:', 'The reason for', ""The code under if __name__ == '__main__': will be executed only if the module is invoked as a script."", 'Every module in python has a attribute called __name__. The value of __name__  attribute is  __main__  when the module is run directly, like python my_module.py. Otherwise (like when you say import my_module) the value of __name__  is the name of the module.', 'This answer is for Java programmers learning Python.\nEvery Java file typically contains one public class. You can use that class in two ways:', 'If this .py file are imported by other .py files, the code under ""the if statement"" will not be executed.', 'If the python interpreter is running\xa0a particular module then __name__ global  variable will have value ""__main__""', ""We see if __name__ == '__main__': quite often."", 'All the answers have pretty much explained the functionality. But I will provide one example of its usage which might help clearing out the concept further.', 'Create a file, a.py:', ""Every module in Python has a special attribute called name. The value of name  attribute is set to 'main'  when the module is executed as  the main program (e.g. running python foo.py). Otherwise, the value of name  is set to the name of the module that it was called from.""]"
2,Does Python have a ternary conditional operator?,"If Python does not have a ternary conditional operator, is it possible to simulate one using other language constructs?",https://stackoverflow.com/questions/394809/does-python-have-a-ternary-conditional-operator,"['If Python does not have a ternary conditional operator, is it possible to simulate one using other language constructs?', 'Yes, it was added in version 2.5. The expression syntax is:', 'You can index into a tuple:', ""For versions prior to 2.5, there's the trick:"", '<expression 1> if <condition> else <expression 2>', 'From the documentation:', ""An operator for a conditional expression in Python was added in 2006 as part of Python Enhancement Proposal 308. Its form differ from common ?: operator and it's:"", 'Unfortunately, the', 'Here I just try to show some important difference in ternary operator between a couple of programming languages.', 'For Python 2.5 and newer there is a specific syntax:', 'You might often find', 'Yes. From the grammar file:', 'Simulating the python ternary operator.', 'Ternary conditional operator simply allows testing a condition in a single line replacing the multiline if-else making the code compact.', 'Just memorize this pyramid if you have trouble remembering:', 'you can do this :-', ""More a tip than an answer (don't need to repeat the obvious for the hundreth time), but I sometimes use it as a oneliner shortcut in such constructs:"", ""One of the alternatives to Python's conditional expression"", 'As already answered, yes there is a ternary operator in python:', 'Many programming languages derived from C usually have the following syntax of ternary conditional operator:', 'YES, python have a ternary operator, here is the syntax and an example code to demonstrate the same :)', 'Other answers correctly talk about the Python ternary operator. I would like to complement by mentioning a scenario for which the ternary operator is often used but for which there is a better idiom. This is the scenario of using a default value.', 'Python has a ternary form for assignments; however there may be even a shorter form that people should be aware of.', 'I find cumbersome the default python syntax val = a if cond else b, so sometimes I do this:', 'if variable is defined and you want to check if it has value you can just a or b', 'A neat way to chain multiple operators:', '**']"
3,What are metaclasses in Python?,"In Python, what are metaclasses and what do we use them for?",https://stackoverflow.com/questions/100003/what-are-metaclasses-in-python,"['In Python, what are metaclasses and what do we use them for?', 'A metaclass is the class of a class. A class defines how an instance of the class (i.e. an object) behaves while a metaclass defines how a class behaves. A class is an instance of a metaclass.', 'Before understanding metaclasses, you need to master classes in Python. And Python has a very peculiar idea of what classes are, borrowed from the Smalltalk language.', 'Note, this answer is for Python 2.x as it was written in 2008, metaclasses are slightly different in 3.x.', ""Others have explained how metaclasses work and how they fit into the Python type system. Here's an example of what they can be used for. In a testing framework I wrote, I wanted to keep track of the order in which classes were defined, so that I could later instantiate them in this order. I found it easiest to do this using a metaclass."", 'One use for metaclasses is adding new properties and methods to an instance automatically.', 'I think the ONLamp introduction to metaclass programming is well written and gives a really good introduction to the topic despite being several years old already.', 'TLDR: A metaclass instantiates and defines behavior for a class just like a class instantiates and defines behavior for an instance.', 'Python 3 update', ""If you've done Python programming for more than a few months you'll eventually stumble upon code that looks like this:"", 'A metaclass is a class that tells how (some) other class should be created.', 'The type(obj) function gets you the type of an object.', 'type is actually a metaclass -- a class that creates another classes.\nMost metaclass are the subclasses of type. The metaclass receives the new class as its first argument and provide access to class object with details as mentioned below:', 'Python classes are themselves objects - as in instance - of their meta-class.', 'The type() function can return the type of an object or create a new type,', ""In addition to the published answers I can say that a metaclass defines the behaviour for a class. So, you can explicitly set your metaclass. Whenever Python gets a keyword class then it starts searching for the metaclass. If it's not found – the default metaclass type is used to create the class's object. Using the __metaclass__ attribute, you can set metaclass of your class:"", 'In object-oriented programming, a metaclass is a class whose instances are classes. Just as an ordinary class defines the behavior of certain objects, a metaclass defines the behavior of certain class and their instances\nThe term metaclass simply means something used to create classes. In other words, it is the class of a class. The metaclass is used to create the class so like the object being an instance of a class, a class is an instance of a metaclass. In python classes are also considered objects.', ""Here's another example of what it can be used for:"", 'Note that in python 3.6 a new dunder method __init_subclass__(cls, **kwargs) was introduced to replace a lot of common use cases for metaclasses. Is is called when a subclass of the defining class is created. See python docs.', 'A class, in Python, is an object, and just like any other object, it is an instance of ""something"". This ""something"" is what is termed as a Metaclass. This metaclass is a special type of class that creates other class\'s objects. Hence, metaclass is responsible for making new classes. This allows the programmer to customize the way classes are generated.', 'Defination:\nA metaclass is a class whose instances are classes. Like an ""ordinary"" class defines the behavior of the instances of the class, a metaclass defines the behavior of classes and their instances.', 'A metaclass in Python is a class of a class that defines how a class behaves. A class is itself an instance of a metaclass. A class in Python defines how the instance of the class will behave. We can customize the class creation process by passing the metaclass keyword in the class definition. This can also be done by inheriting a class that has already passed in this keyword.', 'Metaclass is a kind of class which defines how the class will behave like or we can say that A class is itself an instance of a metaclass.']"
4,How do I check whether a file exists without exceptions?,"How do I check if a file exists or not, without using the try statement?",https://stackoverflow.com/questions/82831/how-do-i-check-whether-a-file-exists-without-exceptions,"['How do I check if a file exists or not, without using the try statement?', ""If the reason you're checking is so you can do something like if file_exists: open_it(), it's safer to use a try around the attempt to open it. Checking and then opening risks the file being deleted or moved or something between when you check and when you try to open it."", 'You have the os.path.exists function:', ""Unlike isfile(), exists() will return True for directories. So depending on if you want only plain files or also directories, you'll use isfile() or exists(). Here is some simple REPL output:"", 'Use os.path.isfile() with os.access():', ""Although almost every possible way has been listed in (at least one of) the existing answers (e.g. Python 3.4 specific stuff was added), I'll try to group everything together."", 'Python 3.4+ has an object-oriented path module: pathlib.  Using this new module, you can check whether a file exists like this:', ""This is the simplest way to check if a file exists. Just because the file existed when you checked doesn't guarantee that it will be there when you need to open it."", ""Prefer the try statement. It's considered better style and avoids race conditions."", 'Now available since Python 3.4, import and instantiate a Path object with the file name, and check the is_file method (note that this returns True for symlinks pointing to regular files as well):', 'Importing os makes it easier to navigate and perform standard actions with your operating system.', 'Testing for files and folders with os.path.isfile(), os.path.isdir() and os.path.exists()', 'In 2016 the best way is still using os.path.isfile:', ""It doesn't seem like there's a meaningful functional difference between try/except and isfile(), so you should use which one makes sense."", 'You could try this (safer):', 'Although I always recommend using try and except statements, here are a few possibilities for you (my personal favourite is using os.access):', 'Date:2017-12-04', 'If the file is for opening you could use one of the following techniques:', 'Additionally, os.access():', 'Raising exceptions is considered to be an acceptable, and Pythonic,\n  approach for flow control in your program. Consider handling missing\n  files with IOErrors. In this situation, an IOError exception will be\n  raised if the file exists but the user does not have read permissions.', 'If you imported NumPy already for other purposes then there is no need to import other libraries like pathlib, os, paths, etc.', ""You can write Brian's suggestion without the try:."", 'You can follow these three ways:', ""Adding one more slight variation which isn't exactly reflected in the other answers."", ""I'm the author of a package that's been around for about 10 years, and it has a function that addresses this question directly. Basically, if you are on a non-Windows system, it uses Popen to access find.  However, if you are on Windows, it replicates find with an efficient filesystem walker."", ""Here's a 1 line Python command for the Linux command line environment. I find this VERY HANDY since I'm not such a hot Bash guy."", 'You can use the ""OS"" library of Python:', 'How do I check whether a file exists, without using the try statement?']"
5,How do I merge two dictionaries in a single expression in Python (taking union of dictionaries)?,"I have two Python dictionaries, and I want to write a single expression that returns these two dictionaries, merged (i.e. taking the union).  The update() method would be what I need, if it returned ...",https://stackoverflow.com/questions/38987/how-do-i-merge-two-dictionaries-in-a-single-expression-in-python-taking-union-o,"['I have two Python dictionaries, and I want to write a single expression that returns these two dictionaries, merged (i.e. taking the union).  The update() method would be what I need, if it returned its result instead of modifying a dictionary in-place.', 'For dictionaries x and y, z becomes a shallowly merged dictionary with values from y replacing those from x.', 'In your case, what you can do is:', 'An alternative:', 'Another, more concise, option:', ""This probably won't be a popular answer, but you almost certainly do not want to do this.  If you want a copy that's a merge, then use copy (or deepcopy, depending on what you want) and then update.  The two lines of code are much more readable - more Pythonic - than the single line creation with .items() + .items().  Explicit is better than implicit."", 'In a follow-up answer, you asked about the relative performance of these two alternatives:', 'In Python 3.0 and later, you can use collections.ChainMap which groups multiple dicts or other mappings together to create a single, updateable view:', 'I wanted something similar, but with the ability to specify how the values on duplicate keys were merged, so I hacked this out (but did not heavily test it).  Obviously this is not a single expression, but it is a single function call.', 'Demonstration:', 'The best version I could think while not using copy would be:', 'Python 3.5 (PEP 448) allows a nicer syntax option:', ""For items with keys in both dictionaries ('b'), you can control which one ends up in the output by putting that one last."", 'While the question has already been answered several times,\nthis simple solution to the problem has not been listed yet.', 'Among such shady and dubious answers, this shining example is the one and only good way to merge dicts in Python, endorsed by dictator for life Guido van Rossum himself!  Someone else suggested half of this, but did not put it in a function.', 'If you think lambdas are evil then read no further.\nAs requested, you can write the fast and memory-efficient solution with one expression:', 'Be pythonic. Use a comprehension:', ""In python3, the items method no longer returns a list, but rather a view, which acts like a set. In this case you'll need to take the set union since concatenating with + won't work:"", 'Simple solution using itertools that preserves order (latter dicts have precedence)', 'Two dictionaries', ""Abuse leading to a one-expression solution for Matthew's answer:"", 'Even though the answers were good for this shallow dictionary, none of the methods defined here actually do a deep dictionary merge.', ""If you don't mind mutating x,"", '(For Python2.7* only; there are simpler solutions for Python3*.)', ""Drawing on ideas here and elsewhere I've comprehended a function:"", 'The problem I have with solutions listed to date is that, in the merged dictionary, the value for key ""b"" is 10 but, to my way of thinking, it should be 12.\nIn that light, I present the following:', ""It's so silly that .update returns nothing.\nI just use a simple helper function to solve the problem:"", 'This should solve your problem.', 'There will be a new option when Python 3.8 releases (scheduled for 20 October, 2019), thanks to PEP 572: Assignment Expressions. The new assignment expression operator := allows you to assign the result of the copy and still use it to call update, leaving the combined code a single expression, rather than two statements, changing:', 'This can be done with a single dict comprehension:']"
6,How to call an external command?,How do you call an external command (as if I'd typed it at the Unix shell or Windows command prompt) from within a Python script?,https://stackoverflow.com/questions/89228/how-to-call-an-external-command,"[""How do you call an external command (as if I'd typed it at the Unix shell or Windows command prompt) from within a Python script?"", 'Look at the subprocess module in the standard library:', ""Here's a summary of the ways to call external programs and the advantages and disadvantages of each:"", 'Typical implementation:', 'Some hints on detaching the child process from the calling one (starting the child process in background).', ""Note that this is dangerous, since the command isn't cleaned. I leave it up to you to google for the relevant documentation on the 'os' and 'sys' modules. There are a bunch of functions (exec* and spawn*) that will do similar things."", ""I'd recommend using the subprocess module instead of os.system because it does shell escaping for you and is therefore much safer."", 'If you want to return the results of the command, you can use os.popen. However, this is deprecated since version 2.6 in favor of the subprocess module, which other answers have covered well.', ""There are lots of different libraries which allow you to call external commands with Python. For each library I've given a description and shown an example of calling an external command. The command I used as the example is ls -l (list all files). If you want to find out more about any of the libraries I've listed and linked the documentation for each of them."", 'I always use fabric for this things like:', 'Use the subprocess module (Python 3):', 'Check the ""pexpect"" Python library, too.', 'If you need the output from the command you are calling,\nthen you can use subprocess.check_output (Python 2.7+).', 'This is how I run my commands. This code has everything you need pretty much', ""subprocess.run is the recommended approach as of Python 3.5 if your code does not need to maintain compatibility with earlier Python versions. It's more consistent and offers similar ease-of-use as Envoy. (Piping isn't as straightforward though. See this question for how.)"", 'Use subprocess.', 'Simple, use subprocess.run, which returns a CompletedProcess object:', ""os.system is OK, but kind of dated.  It's also not very secure.  Instead, try subprocess.  subprocess does not call sh directly and is therefore more secure than os.system."", 'There is also Plumbum', 'It can be this simple:', 'Use:', ""I quite like shell_command for its simplicity.  It's built on top of the subprocess module."", 'There is another difference here which is not mentioned previously.', 'os.system does not allow you to store results, so if you want to store results in some list or something, a subprocess.call works.', ""subprocess.check_call is convenient if you don't want to test return values. It throws an exception on any error."", 'I tend to use subprocess together with shlex (to handle escaping of quoted strings):', 'Shameless plug, I wrote a library for this :P\nhttps://github.com/houqp/shell.py', 'In Windows you can just import the subprocess module and run external commands by calling subprocess.Popen(), subprocess.Popen().communicate() and subprocess.Popen().wait() as below:', ""You can use Popen, and then you can check the procedure's status:"", 'To fetch the network id from the OpenStack Neutron:', 'Under Linux, in case you would like to call an external command that will execute independently (will keep running after the python script terminates), you can use a simple queue as task spooler or the at command']"
7,How can I safely create a nested directory?,"What is the most elegant way to check if the directory a file is going to be written to exists, and if not, create the directory using Python? Here is what I tried:

import os

file_path = ""/my/...",https://stackoverflow.com/questions/273192/how-can-i-safely-create-a-nested-directory,"['What is the most elegant way to check if the directory a file is going to be written to exists, and if not, create the directory using Python? Here is what I tried:', 'On Python ≥ 3.5, use pathlib.Path.mkdir:', ""pathlib.Path.mkdir as used above recursively creates the directory and does not raise an exception if the directory already exists. If you don't need or want the parents to be created, skip the parents argument."", 'Using try except and the right error code from errno module gets rid of the race condition and is cross-platform:', 'I would personally recommend that you use os.path.isdir() to test instead of os.path.exists().', 'Check os.makedirs:  (It makes sure the complete path exists.)\n To handle the fact the directory might exist, catch OSError.\n(If exist_ok is False (the default), an OSError is raised if the target directory already exists.)', 'Starting from Python 3.5, pathlib.Path.mkdir has an exist_ok flag:', 'You give a particular file at a certain path and you pull the directory from the file path. Then after making sure you have the directory, you attempt to open a file for reading. To comment on this code:', 'Try the os.path.exists function', ""I have put the following down. It's not totally foolproof though."", 'Check if a directory exists and create it if necessary?', 'In Python 3.4 you can also use the brand new pathlib module:', 'In Python3, os.makedirs supports setting exist_ok. The default setting is False, which means an OSError will be raised if the target directory already exists. By setting exist_ok to True, OSError (directory exists) will be ignored and the directory will not be created.', 'The relevant Python documentation suggests the use of the EAFP coding style (Easier to Ask for Forgiveness than Permission). This means that the code', 'For a one-liner solution, you can use IPython.utils.path.ensure_dir_exists():', 'You can use mkpath', 'I use os.path.exists(), here is a Python 3 script that can be used to check if a directory exists, create one if it does not exist, and delete it if it does exist (if desired).', 'Use this command check and create dir', 'Why not use subprocess module if running on a machine that supports command \nmkdir with -p option ? \nWorks on python 2.7 and python 3.6', 'I found this Q/A and I was initially puzzled by some of the failures and errors I was getting. I am working in Python 3 (v.3.5 in an Anaconda virtual environment on an Arch Linux x86_64 system).', ""I saw Heikki Toivonen and A-B-B's answers and thought of this variation."", 'You can use os.listdir for this:', 'Call the function create_dir() at the entry point of your program/project.', 'If you consider the following:', 'You have to set the full path before creating the directory:', 'Where your code here is use the (touch) command', 'Under Linux you can create directory in one line:', 'You can both create a file, and all its parent directories in 1 command with fastcore extension to pathlib: path.mk_write(data)']"
8,Accessing the index in 'for' loops?,"How do I access the index in a for loop like the following?

ints = [8, 23, 45, 12, 78]
for i in ints:
    print('item #{} = {}'.format(???, i))
I want to get this output:

item #1 = 8
item #2 = 23
...",https://stackoverflow.com/questions/522563/accessing-the-index-in-for-loops,"['How do I access the index in a for loop like the following?', 'Using an additional state variable, such as an index variable (which you would normally use in languages such as C or PHP), is considered non-pythonic.', 'Use enumerate to get the index with the element as you iterate:', ""It's pretty simple to start it from 1 other than 0:"", 'As is the norm in Python there are several ways to do this. In all examples assume: lst = [1, 2, 3, 4, 5]', 'Old fashioned way:', 'The fastest way to access indexes of list within loop in Python 3.7 is to use the enumerate method for small, medium and huge lists.', ""First of all, the indexes will be from 0 to 4. Programming languages start counting from 0; don't forget that or you will come across an index out of bounds exception. All you need in the for loop is a variable counting from 0 to 4 like so:"", 'for i in enumerate(items): print(i)', 'According to this discussion: http://bytes.com/topic/python/answers/464012-objects-list-index', 'You can do it with this code:', 'Best solution for this problem is use enumerate in-build python function. \nenumerate return tuple \nfirst value is index \nsecond value is element of array at that index', 'If I were to iterate nums = [1, 2, 3, 4, 5] I would do', 'In your question, you write ""how do I access the loop index, from 1 to 5 in this case?""', 'If there is no duplicate value in the list:', 'You can also try this:', 'You can use the index method', 'Simple answer using While Loop:', 'To print tuple of (index, value) in list comprehension using a for loop:', 'This serves the purpose well enough:']"
9,Difference between staticmethod and classmethod,What is the difference between a function decorated with @staticmethod and one decorated with @classmethod?,https://stackoverflow.com/questions/136097/difference-between-staticmethod-and-classmethod,"['What is the difference between a function decorated with @staticmethod and one decorated with @classmethod?', 'Maybe a bit of example code will help: Notice the difference in the call signatures of foo, class_foo and static_foo:', 'A staticmethod is a method that knows nothing about the class or instance it was called on. It just gets the arguments that were passed, no implicit first argument. It is basically useless in Python -- you can just use a module function instead of a staticmethod.', ""Basically @classmethod makes a method whose first argument is the class it's called from (rather than the class instance), @staticmethod does not have any implicit arguments."", 'Official python docs:', 'Here is a short article on this question', 'To decide whether to use @staticmethod or @classmethod you have to look inside your method. If your method accesses other variables/methods in your class then use @classmethod. On the other hand, if your method does not touches any other parts of the class then use @staticmethod.', 'You may have seen Python code like this pseudocode, which demonstrates the signatures of the various method types and provides a docstring to explain each:', 'I started learning programming language with C++ and then Java and then Python and so this question bothered me a lot as well, until I understood the simple usage of each.', 'I think a better question is ""When would you use @classmethod vs @staticmethod?""', ""@decorators were added in python 2.4 If you're using python < 2.4 you can use the classmethod() and staticmethod() function."", 'Static Methods:', '@staticmethod just disables the default function as method descriptor.  classmethod wraps your function in a container callable that passes a reference to the owning class as first argument:', 'Let me tell the similarity between a method decorated with @classmethod vs @staticmethod first.', 'Only the first argument differs:', 'The definitive guide on how to use static, class or abstract methods in Python is one good link for this topic, and summary it as following.', 'Another consideration with respect to staticmethod vs classmethod comes up with inheritance.  Say you have the following class:', 'I will try to explain the basic difference using an example.', '@classmethod : can be used to create a shared global access to all the instances created of that class..... like updating a record by multiple users....\nI particulary found it use ful when creating singletons as well..:)', 'A class method receives the class as implicit first argument, just like an instance method receives the instance. It is a method which is bound to the class and not the object of the class.It has access to the state of the class as it takes a class parameter that points to the class and not the object instance. It can modify a class state that would apply across all the instances of the class. For example it can modify a class variable that will be applicable to all the instances.', 'You might want to consider the difference between:', 'My contribution demonstrates the difference amongst @classmethod, @staticmethod, and instance methods, including how an instance can indirectly call a @staticmethod. But instead of indirectly calling a @staticmethod from an instance, making it private may be more ""pythonic."" Getting something from a private method isn\'t demonstrated here but it\'s basically the same concept.', 'Analyze @staticmethod literally providing different insights.', 'I think giving a purely Python version of staticmethod and classmethod would help to understand the difference between them at language level.', ""Class methods, as the name suggests, are used to make changes to classes and not the objects. To make changes to classes, they will modify the class attributes(not object attributes), since that is how you update classes.\nThis is the reason that class methods take the class(conventionally denoted by 'cls') as the first argument."", 'staticmethod has no access to attibutes of the object, of the class, or of parent classes in the inheritance hierarchy.\nIt can be called at the class directly (without creating an object).', ""One pretty important practical difference occurs when subclassing. If you don't mind, I'll hijack @unutbu's example:"", 'A quick hack-up ofotherwise identical methods in iPython reveals that @staticmethod yields marginal performance gains (in the nanoseconds), but otherwise it seems to serve no function. Also, any performance gains will probably be wiped out by the additional work of processing the method through staticmethod() during compilation (which happens prior to any code execution when you run a script).']"
