,question,summary,link,answers
0,,,,
1,Options for HTML scraping? [closed],"I'm thinking of trying Beautiful Soup, a Python package for HTML scraping. Are there any other HTML scraping packages I should be looking at? Python is not a requirement, I'm actually interested in ...",https://stackoverflow.com/questions/2861/options-for-html-scraping,". 
Want to improve this question? Update the question so it focuses on one problem only by editing this post.
                . The Ruby world's equivalent to Beautiful Soup is why_the_lucky_stiff's Hpricot.. In the .NET world, I recommend the HTML Agility Pack. Not near as simple as some of the above options (like HTMLSQL), but it's very flexible. It lets you maniuplate poorly formed HTML as if it were well formed XML, so you can use XPATH or just itereate over nodes.. BeautifulSoup is a great way to go for HTML scraping. My previous job had me doing a lot of scraping and I wish I knew about BeautifulSoup when I started. It's like the DOM with a lot more useful options and is a lot more pythonic. If you want to try Ruby they ported BeautifulSoup calling it RubyfulSoup but it hasn't been updated in a while.. I found HTMLSQL to be a ridiculously simple way to screenscrape. It takes literally minutes to get results with it.. The Python lxml library acts as a Pythonic binding for the libxml2 and libxslt libraries. I like particularly its XPath support and pretty-printing of the in-memory XML structure. It also supports parsing broken HTML. And I don't think you can find other Python libraries/bindings that parse XML faster than lxml.. For Perl, there's WWW::Mechanize.. Python has several options for HTML scraping in addition to Beatiful Soup. Here are some others:. 'Simple HTML DOM Parser' is a good option for PHP, if your familiar with jQuery or JavaScript selectors then you will find yourself at home.. Why has no one mentioned JSOUP yet for Java? http://jsoup.org/. The templatemaker utility from Adrian Holovaty (of Django fame) uses a very interesting approach: You feed it variations of the same page and it ""learns"" where the ""holes"" for variable data are. It's not HTML specific, so it would be good for scraping any other plaintext content as well. I've used it also for PDFs and HTML converted to plaintext (with pdftotext and lynx, respectively).. I know and love Screen-Scraper.. I would first find out if the site(s) in question provide an API server or RSS Feeds for access the data you require.. Scraping Stack Overflow is especially easy with Shoes and Hpricot.. Another option for Perl would be Web::Scraper which is based on Ruby's Scrapi. In a nutshell, with nice and concise syntax, you can get a robust scraper directly into data structures.. I've had some success with HtmlUnit, in Java. It's a simple framework for writing unit tests on web UI's, but equally useful for HTML scraping.. Yahoo! Query Language or YQL can be used alongwith jQuery, AJAX, JSONP to screen scrape web pages. Another tool for .NET is MhtBuilder. There is this solution too: netty HttpClient. I use Hpricot on Ruby. As an example this is a snippet of code that I use to retrieve all book titles from the six pages of my HireThings account (as they don't seem to provide a single page with this information):. I've used Beautiful Soup a lot with Python. It is much better than regular expression checking, because it works like using the DOM, even if the HTML is poorly formatted. You can quickly find HTML tags and text with simpler syntax than regular expressions. Once you find an element, you can iterate over it and its children, which is more useful for understanding the contents in code than it is with regular expressions. I wish Beautiful Soup existed years ago when I had to do a lot of screenscraping -- it would have saved me a lot of time and headache since HTML structure was so poor before people started validating it.. Although it was designed for .NET web-testing, I've been using the WatiN framework for this purpose. Since it is DOM-based, it is pretty easy to capture HTML, text, or images. Recentely, I used it to dump a list of links from a MediaWiki All Pages namespace query into an Excel spreadsheet. The following VB.NET code fragement is pretty crude, but it works.. Implementations of the HTML5 parsing algorithm: html5lib (Python, Ruby), Validator.nu HTML Parser (Java, JavaScript; C++ in development), Hubbub (C), Twintsam (C#; upcoming).. You would be a fool not to use Perl.. Here come the flames.. . I have used LWP and HTML::TreeBuilder with Perl and have found them very useful.. In Java, you can use TagSoup.. Well, if you want it done from the client side using only a browser you have jcrawl.com. After having designed your scrapping service from the web application (http://www.jcrawl.com/app.html), you only need to add the generated script to an HTML page to start using/presenting your data.. You probably have as much already, but I think this is what you are trying to do:. I've had mixed results in .NET using SgmlReader which was originally started by Chris Lovett and appears to have been updated by MindTouch.. I like Google Spreadsheets' ImportXML(URL, XPath) function.. I've also had great success using Aptana's Jaxer + jQuery to parse pages. It's not as fast or 'script-like' in nature, but jQuery selectors + real JavaScript/DOM is a lifesaver on more complicated (or malformed) pages."
2,Headless Browser and scraping - solutions [closed],"I'm trying to put list of possible solutions for browser automatic tests suits and headless browser platforms capable of scraping.
BROWSER TESTING / SCRAPING:
Selenium - polyglot flagship in browser ...",https://stackoverflow.com/questions/18539491/headless-browser-and-scraping-solutions,". 
Want to improve this question? Update the question so it's on-topic for Stack Overflow.
                . If Ruby is your thing, you may also try:. http://triflejs.org/ is like phantomjs but based on IE. A kind of JS-based Selenium is Dalek.js. It not only aims for automated frontend-tests, you can also do screenshots with it. It has webdrivers for all important browsers. Unfortunately those webdrivers seem to be worth improving (just not to say ""buggy"" to Firefox)."
3,How can I get the Google cache age of any URL or web page? [closed],"In my project I need the Google cache age to be added as important information. I tried to search sources for the Google cache age, that is, the number of days since Google last re-indexed the page ...",https://stackoverflow.com/questions/4560400/how-can-i-get-the-google-cache-age-of-any-url-or-web-page,". 
Want to improve this question? Update the question so it's on-topic for Stack Overflow.
                . Use the URL. You'll need to scrape the resulting page, but you can view the most recent cache page using this URL:. you can Use CachedPages website   . its too simple, you can just type ""cache:"" before the URL of the page. for example
if you want to check the last webcache of this page simply type on URL bar cache:http://stackoverflow.com/questions/4560400/how-can-i-get-the-google-cache-age-of-any-url-or-web-page. You can use this site: https://cachedviews.com/ . Cache View or Cached Pages of Any Website - Google Cached Pages of Any Website. This one good also to view cachepage http://www.cachepage.net"
4,Which HTML Parser is the best? [closed],"I code a lot of parsers. Up until now, I was using HtmlUnit headless browser for parsing and browser automation.

Now, I want to separate both the tasks.

As 80% of my work involves just parsing, I ...",https://stackoverflow.com/questions/2168610/which-html-parser-is-the-best,". I code a lot of parsers. Up until now, I was using HtmlUnit headless browser for parsing and browser automation.. Self plug: I have just released a new Java HTML parser: jsoup. I mention it here because I think it will do what you are after.. The best I've seen so far is HtmlCleaner:. I suggest Validator.nu's parser, based on the HTML5 parsing algorithm. It is the parser used in Mozilla from 2010-05-03"
5,Web-scraping JavaScript page with Python,"I'm trying to develop a simple web scraper. I want to extract text without the HTML code. In fact, I achieve this goal, but I have seen that in some pages where JavaScript is loaded I didn't obtain ...",https://stackoverflow.com/questions/8049520/web-scraping-javascript-page-with-python,". I'm trying to develop a simple web scraper. I want to extract text without the HTML code. In fact, I achieve this goal, but I have seen that in some pages where JavaScript is loaded I didn't obtain good results.. EDIT 30/Dec/2017: This answer appears in top results of Google searches, so I decided to update it. The old answer is still at the end.. We are not getting the correct results because any javascript generated content needs to be rendered on the DOM. When we fetch an HTML page, we fetch the initial, unmodified by javascript, DOM.. Maybe selenium can do it.. If you have ever used the Requests module for python before, I recently found out that the developer created a new module called Requests-HTML which now also has the ability to render JavaScript.. This seems to be a good solution also, taken from a great blog post. It sounds like the data you're really looking for can be accessed via secondary URL called by some javascript on the primary page.. Selenium is the best for scraping JS and Ajax content.. You can also execute javascript using webdriver.. I personally prefer using scrapy and selenium and dockerizing both in separate containers. This way you can install both with minimal hassle and crawl modern websites that almost all contain javascript in one form or another. Here's an example:. A mix of BeautifulSoup and Selenium works very well for me.. You'll want to use urllib, requests, beautifulSoup and selenium web driver in your script for different parts of the page, (to name a few).
Sometimes you'll get what you need with just one of these modules.
Sometimes you'll need two, three, or all of these modules.
Sometimes you'll need to switch off the js on your browser.
Sometimes you'll need header info in your script.
No websites can be scraped the same way and no website can be scraped in the same way forever without having to modify your crawler, usually after a few months. But they can all be scraped! Where there's a will there's a way for sure.
If you need scraped data continuously into the future just scrape everything you need and store it in .dat files with pickle.
Just keep searching how to try what with these modules and copying and pasting your errors into the Google.. Using PyQt5. I've been trying to find answer to this questions for two days. Many answers direct you to different issues. But serpentr's answer above is really to the point. It is the shortest, simplest solution. Just a reminder the last word ""var"" represents the variable name, so should be used as:. As mentioned, Selenium is a good choice for rendering the results of the JavaScript:"
6,Web scraping with Python [closed],I'd like to grab daily sunrise/sunset times from a web site. Is it possible to scrape web content with Python? what are the modules used? Is there any tutorial available?,https://stackoverflow.com/questions/2081586/web-scraping-with-python,". 
Want to improve this question? Update the question so it's on-topic for Stack Overflow.
                . Use urllib2 in combination with the brilliant BeautifulSoup library:. I'd really recommend Scrapy.. I collected together scripts from my web scraping work into this bit-bucket library.. I would strongly suggest checking out pyquery. It uses jquery-like (aka css-like) syntax which makes things really easy for those coming from that background.. You can use urllib2 to make the HTTP requests, and then you'll have web content.. I use a combination of Scrapemark (finding urls - py2) and httlib2 (downloading images - py2+3). The scrapemark.py has 500 lines of code, but uses regular expressions, so it may be not so fast, did not test.. Make your life easier by using CSS Selectors. If we think of getting name of items from any specific category then we can do that by specifying the class name of that category using css selector:. Here is a simple web crawler, i used BeautifulSoup and we will search for all the links(anchors) who's class name is _3NFO0d. I used Flipkar.com, it is an online retailing store.. Python has good options to scrape the web. The best one with a framework is scrapy. It can be a little tricky for beginners, so here is a little help. 
1. Install python above 3.5 (lower ones till 2.7 will work). 
2. Create a environment in conda ( I did this). 
3. Install scrapy at a location and run in from there. 
4. Scrapy shell will give you an interactive interface to test you code. 
5. Scrapy startproject projectname will create a framework.
6. Scrapy genspider spidername will create a spider. You can create as many spiders as you want. While doing this make sure you are inside the project directory. 

"
7,Scraping html tables into R data frames using the XML package,"How do I scrape html tables using the XML package?

Take, for example, this wikipedia page on the Brazilian soccer team. I would like to read it in R and get the ""list of all matches Brazil have ...",https://stackoverflow.com/questions/1395528/scraping-html-tables-into-r-data-frames-using-the-xml-package,. How do I scrape html tables using the XML package?. …or a shorter try:. Edited to add:. Another option using Xpath.. The rvest along with xml2 is another popular package for parsing html web pages.
8,Puppeteer: pass variable in .evaluate(),"I'm trying to pass a variable into a page.evaluate() function in Puppeteer, but when I use the following very simplified example, the variable evalVar is undefined.

I'm new to Puppeteer and can't ...",https://stackoverflow.com/questions/46088351/puppeteer-pass-variable-in-evaluate,". I'm trying to pass a variable into a page.evaluate() function in Puppeteer, but when I use the following very simplified example, the variable evalVar is undefined.. You have to pass the variable as an argument to the pageFunction like this:. I encourage you to stick on this style, because it's more convenient and readable.. You can pass one variable to page.evaluate() using the following syntax:. It took me quite a while to figure out that console.log() in evaluate() can't show in node console. . For pass a function, there are two ways you can do it.. I have a typescript example that could help someone new in typescript.. With page.$$eval"
9,How to use Python requests to fake a browser visit?,"I want to get the content from the below website. If I use a browser like Firefox or Chrome I could get the real website page I want, but if I use the Python requests package (or wget command) to get ...",https://stackoverflow.com/questions/27652543/how-to-use-python-requests-to-fake-a-browser-visit,". I want to get the content from the below website. If I use a browser like Firefox or Chrome I could get the real website page I want, but if I use the Python requests package (or wget command) to get it, it returns a totally different HTML page. I thought the developer of the website had made some blocks for this, so the question is:. Provide a User-Agent header:. if this question is still valid. Try doing this, using firefox as fake user agent (moreover, it's a good startup script for web scraping with the use of cookies):. The root of the answer is that the person asking the question needs to have a JavaScript interpreter to get what they are after. What I have found is I am able to get all of the information I wanted on a website in json before it was interpreted by JavaScript. This has saved me a ton of time in what would be parsing html hoping each webpage is in the same format."
10,Scraping: SSL: CERTIFICATE_VERIFY_FAILED error for http://en.wikipedia.org,"I'm practicing the code from 'Web Scraping with Python', and I keep having this certificate problem:

from urllib.request import urlopen 
from bs4 import BeautifulSoup 
import re

pages = set()
def ...",https://stackoverflow.com/questions/50236117/scraping-ssl-certificate-verify-failed-error-for-http-en-wikipedia-org,". I'm practicing the code from 'Web Scraping with Python', and I keep having this certificate problem:. Once upon a time I stumbled  with this issue. If you're using macOS go to Macintosh HD > Applications > Python3.6 folder (or whatever version of python you're using) > double click on ""Install Certificates.command"" file. :D. To solve this: . to use unverified ssl you can add this to your code:. This terminal command:. For novice users, you can go in the Applications folder and expand the Python 3.7 folder. Now first run (or double click) the Install Certificates.command and then Update Shell Profile.command. Two steps worked for me :
- going Macintosh HD > Applications > Python3.7 folder 
- click on ""Install Certificates.command"". Take a look at this post, it seems like for later versions of Python, certificates are not pre installed which seems to cause this error. You should be able to run the following command to install the certifi package: /Applications/Python\ 3.6/Install\ Certificates.command. For anyone who is using anaconda, you would install the certifi package, see more at: . I could find this solution and is working fine:. i didn't solve the problem, sadly.
but managed to make to codes work (almost all of my codes have this probelm btw)
the local issuer certificate problem happens under python3.7
so i changed back to python2.7 QAQ
and all that needed to change including ""from urllib2 import urlopen"" instead of ""from urllib.request import urlopen""
so sad.... If you're running on a Mac you could just search for Install Certificates.command on the spotlight and hit enter.. For me the problem was that I was setting REQUESTS_CA_BUNDLE in my .bash_profile. Use requests library.
Try this solution, or just add https:// before the URL:. I'm a relative novice compared to all the experts on Stack Overflow.. This will work. Set the environment variable PYTHONHTTPSVERIFY to 0.. Install Certificates.command on your mac.. The only solution that worked for me:"
11,What's the best way of scraping data from a website? [closed],"I need to extract contents from a website, but the application doesn’t provide any application programming interface or another mechanism to access that data programmatically.

I found a useful third-...",https://stackoverflow.com/questions/22168883/whats-the-best-way-of-scraping-data-from-a-website,". 
Want to improve this question? Update the question so it can be answered with facts and citations by editing this post.
                . You will definitely want to start with a good web scraping framework. Later on you may decide that they are too limiting and you can put together your own stack of libraries but without a lot of scraping experience your design will be much worse than pjscrape or scrapy.. Yes you can do it yourself. It is just a matter of grabbing the sources of the page and parsing them the way you want. "
12,What is the difference between web-crawling and web-scraping? [duplicate],"Is there a difference between Crawling and Web-scraping?

If there's a difference, what's the best method to use in order to collect some web data to supply a database for later use in a customised ...",https://stackoverflow.com/questions/4327392/what-is-the-difference-between-web-crawling-and-web-scraping,". Is there a difference between Crawling and Web-scraping?. Crawling would be essentially what Google, Yahoo, MSN, etc. do, looking for ANY information.  Scraping is generally targeted at certain websites, for specfic data, e.g. for price comparison, so are coded quite differently.. Yes, they are different. In practice, you may need to use both.. AFAIK Web Crawling is what Google does - it goes around a website looking at links and building a database of the layout of that site and sites it links to. There's a fundamental difference between these two. 
For those looking to dig deeper, I suggest you read this - 
Web scraper, Web Crawler. There's definitely a difference between these two. One refers to visiting a site, the other to extracting.. We crawl sites to have broad perspective how the site is structured, what are connections between pages, to estimate how much time we need to visit all pages we are interested in. Scraping is often harder to implement, but it’s an essence of data extraction. Let’s think of scraping as of covering website with sheet of paper with some rectangles cut out. We can now see only things we need, completely ignoring parts of website that are common for all pages (like navigation, footer, ads), or extraneous informations as comments or breadcrumbs.
More about differences between crawling and scrapping you find here: https://tarantoola.io/web-scraping-vs-web-crawling/"
13,XPath:: Get following Sibling,"I have following HTML Structure: I am trying to build a robust method to extract second color digest element since there will be many of these tag within the DOM.

<table>
  <tbody>
    &...",https://stackoverflow.com/questions/11657223/xpath-get-following-sibling,". I have following HTML Structure: I am trying to build a robust method to extract second color digest element since there will be many of these tag within the DOM.. You should be looking for the second tr that has the td that equals ' Color Digest ', then you need to look at either the following sibling of the first td in the tr, or the second td.. You can go for identifying a list of elements with xPath:. /html/body/table/tbody/tr[9]/td[1]"
14,selenium with scrapy for dynamic page,"I'm trying to scrape product information from a webpage, using scrapy. My to-be-scraped webpage looks like this:
starts with a product_list page with 10 products
a click on ""next""  button loads the ...",https://stackoverflow.com/questions/17975471/selenium-with-scrapy-for-dynamic-page,". I'm trying to scrape product information from a webpage, using scrapy. My to-be-scraped webpage looks like this:. It really depends on how do you need to scrape the site and how and what data do you want to get. . If (url doesn't change between the two pages) then you should add dont_filter=True with your scrapy.Request() or scrapy will find this url as a duplicate after processing first page. "
